%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208119, 2023/05/29 16:1:7.22)
18 289 1.373233e-01 1.099087e+00  1.347902000000000000e+06  1.760017000000000000e+06  2.216709000000000000e+06  2.373334000000000000e+06
19 305 1.363398e-01 1.101475e+00  1.347902000000000000e+06  1.748381000000000000e+06  2.221670000000000000e+06  2.497050000000000000e+06
20 321 1.344927e-01 1.103780e+00  1.347902000000000000e+06  1.714123000000000000e+06  2.080369500000000000e+06  2.465389000000000000e+06
21 337 1.328365e-01 1.107511e+00  1.347902000000000000e+06  1.704791000000000000e+06  2.180531500000000000e+06  2.411091000000000000e+06
22 353 1.319963e-01 1.110615e+00  1.347902000000000000e+06  1.512551000000000000e+06  2.155923500000000000e+06  2.447435000000000000e+06
23 369 1.316784e-01 1.117504e+00  1.347902000000000000e+06  1.579582000000000000e+06  2.076765500000000000e+06  2.324347000000000000e+06
24 385 1.308556e-01 1.122976e+00  1.347902000000000000e+06  1.803328000000000000e+06  2.082676000000000000e+06  2.260102000000000000e+06
25 401 1.300485e-01 1.127885e+00  1.347902000000000000e+06  1.614708000000000000e+06  2.055694500000000000e+06  2.276819000000000000e+06
26 417 1.292781e-01 1.133850e+00  1.347902000000000000e+06  1.437384000000000000e+06  2.084015000000000000e+06  2.258862000000000000e+06
27 433 1.278962e-01 1.139290e+00  1.347902000000000000e+06  1.559872000000000000e+06  2.064163500000000000e+06  2.266496000000000000e+06
28 449 1.255077e-01 1.145965e+00  1.347902000000000000e+06  1.872353000000000000e+06  2.072744000000000000e+06  2.290709000000000000e+06
29 465 1.230833e-01 1.149250e+00  1.347902000000000000e+06  1.912169000000000000e+06  2.148279500000000000e+06  2.445806000000000000e+06
30 481 1.206632e-01 1.151697e+00  1.347902000000000000e+06  1.692821000000000000e+06  2.102267500000000000e+06  2.466389000000000000e+06
31 497 1.186364e-01 1.155500e+00  1.347902000000000000e+06  1.525629000000000000e+06  1.998304000000000000e+06  2.441561000000000000e+06
32 513 1.173410e-01 1.157854e+00  1.347902000000000000e+06  1.775733000000000000e+06  2.076530000000000000e+06  2.431980000000000000e+06
33 529 1.167036e-01 1.161096e+00  1.320760000000000000e+06  1.320760000000000000e+06  2.123880000000000000e+06  2.316053000000000000e+06
34 545 1.165895e-01 1.163940e+00  1.320760000000000000e+06  1.796998000000000000e+06  2.096221000000000000e+06  2.191144000000000000e+06
35 561 1.162941e-01 1.167046e+00  1.320760000000000000e+06  1.860818000000000000e+06  2.083252000000000000e+06  2.187997000000000000e+06
36 577 1.160216e-01 1.172203e+00  1.310320000000000000e+06  1.310320000000000000e+06  2.099211500000000000e+06  2.380137000000000000e+06
37 593 1.159553e-01 1.176024e+00  1.310320000000000000e+06  1.590388000000000000e+06  2.116476000000000000e+06  2.393140000000000000e+06
38 609 1.158542e-01 1.179939e+00  1.310320000000000000e+06  1.515733000000000000e+06  2.088167000000000000e+06  2.338150000000000000e+06
39 625 1.156140e-01 1.184065e+00  1.310320000000000000e+06  1.826029000000000000e+06  2.202994000000000000e+06  2.391213000000000000e+06
40 641 1.153358e-01 1.187452e+00  1.310320000000000000e+06  1.825096000000000000e+06  2.151270000000000000e+06  2.346180000000000000e+06
41 657 1.152041e-01 1.192331e+00  1.310320000000000000e+06  1.375676000000000000e+06  2.042846000000000000e+06  2.308315000000000000e+06
42 673 1.141900e-01 1.197457e+00  1.310320000000000000e+06  1.985116000000000000e+06  2.273358000000000000e+06  2.380365000000000000e+06
43 689 1.136834e-01 1.204889e+00  1.276129000000000000e+06  1.276129000000000000e+06  2.021712500000000000e+06  2.344201000000000000e+06
44 705 1.133769e-01 1.211613e+00  1.276129000000000000e+06  1.810024000000000000e+06  2.163693000000000000e+06  2.317037000000000000e+06
45 721 1.117108e-01 1.218142e+00  1.276129000000000000e+06  1.635052000000000000e+06  2.139827000000000000e+06  2.324876000000000000e+06
46 737 1.100036e-01 1.223893e+00  1.276129000000000000e+06  1.768934000000000000e+06  2.202184000000000000e+06  2.296679000000000000e+06
47 753 1.076717e-01 1.227518e+00  1.276129000000000000e+06  1.766675000000000000e+06  2.169048000000000000e+06  2.310069000000000000e+06
48 769 1.065569e-01 1.230060e+00  1.276129000000000000e+06  1.574174000000000000e+06  2.106793500000000000e+06  2.396069000000000000e+06
49 785 1.064284e-01 1.233059e+00  1.276129000000000000e+06  1.731971000000000000e+06  2.094940000000000000e+06  2.298580000000000000e+06
50 801 1.068706e-01 1.235387e+00  1.276129000000000000e+06  1.771547000000000000e+06  2.088564500000000000e+06  2.321602000000000000e+06
51 817 1.072335e-01 1.238045e+00  1.276129000000000000e+06  1.869605000000000000e+06  2.158003500000000000e+06  2.294157000000000000e+06
52 833 1.063566e-01 1.240225e+00  1.276129000000000000e+06  1.678383000000000000e+06  2.085081000000000000e+06  2.291474000000000000e+06
53 849 1.054832e-01 1.242334e+00  1.276129000000000000e+06  1.927603000000000000e+06  2.102957500000000000e+06  2.378388000000000000e+06
54 865 1.044367e-01 1.244527e+00  1.276129000000000000e+06  1.603052000000000000e+06  2.071734500000000000e+06  2.340833000000000000e+06
55 881 1.030316e-01 1.246725e+00  1.276129000000000000e+06  1.816158000000000000e+06  2.047380500000000000e+06  2.199611000000000000e+06
56 897 1.021197e-01 1.248748e+00  1.276129000000000000e+06  1.895341000000000000e+06  2.176165000000000000e+06  2.344980000000000000e+06
57 913 1.014220e-01 1.249754e+00  1.276129000000000000e+06  1.896652000000000000e+06  2.135804000000000000e+06  2.340381000000000000e+06
58 929 9.982150e-02 1.251520e+00  1.276129000000000000e+06  1.796804000000000000e+06  2.111673000000000000e+06  2.299554000000000000e+06
59 945 9.854842e-02 1.253120e+00  1.276129000000000000e+06  1.882749000000000000e+06  2.135782500000000000e+06  2.324978000000000000e+06
60 961 9.715050e-02 1.254805e+00  1.276129000000000000e+06  1.677429000000000000e+06  2.114366500000000000e+06  2.372055000000000000e+06
61 977 9.635412e-02 1.254678e+00  1.276129000000000000e+06  1.667322000000000000e+06  2.099834500000000000e+06  2.390328000000000000e+06
62 993 9.631766e-02 1.255288e+00  1.276129000000000000e+06  1.665303000000000000e+06  2.109205000000000000e+06  2.308147000000000000e+06
63 1009 9.649929e-02 1.257200e+00  1.276129000000000000e+06  1.764003000000000000e+06  2.131737000000000000e+06  2.415719000000000000e+06
64 1025 9.621044e-02 1.258168e+00  1.276129000000000000e+06  1.724316000000000000e+06  2.153700500000000000e+06  2.363873000000000000e+06
65 1041 9.617234e-02 1.258928e+00  1.276129000000000000e+06  1.739669000000000000e+06  2.172913500000000000e+06  2.326991000000000000e+06
66 1057 9.586982e-02 1.258853e+00  1.212131000000000000e+06  1.212131000000000000e+06  2.110743000000000000e+06  2.280941000000000000e+06
67 1073 9.543335e-02 1.259025e+00  1.212131000000000000e+06  1.823061000000000000e+06  2.119710500000000000e+06  2.301157000000000000e+06
68 1089 9.495043e-02 1.259671e+00  1.212131000000000000e+06  1.936540000000000000e+06  2.132280500000000000e+06  2.267266000000000000e+06
69 1105 9.487185e-02 1.260945e+00  1.212131000000000000e+06  2.014790000000000000e+06  2.204947500000000000e+06  2.421901000000000000e+06
70 1121 9.417566e-02 1.261395e+00  1.212131000000000000e+06  1.829127000000000000e+06  2.172479500000000000e+06  2.317879000000000000e+06
71 1137 9.342036e-02 1.261949e+00  1.212131000000000000e+06  1.872833000000000000e+06  2.125287500000000000e+06  2.370301000000000000e+06
72 1153 9.255058e-02 1.264155e+00  1.212131000000000000e+06  1.739153000000000000e+06  2.165103500000000000e+06  2.340059000000000000e+06
73 1169 9.268158e-02 1.267838e+00  1.212131000000000000e+06  1.571876000000000000e+06  2.114739500000000000e+06  2.263820000000000000e+06
74 1185 9.212483e-02 1.270622e+00  1.212131000000000000e+06  1.824794000000000000e+06  2.168981000000000000e+06  2.349965000000000000e+06
75 1201 9.193507e-02 1.271716e+00  1.212131000000000000e+06  1.891463000000000000e+06  2.185603500000000000e+06  2.315600000000000000e+06
76 1217 9.229852e-02 1.273976e+00  1.212131000000000000e+06  1.758878000000000000e+06  2.162287000000000000e+06  2.385628000000000000e+06
77 1233 9.223063e-02 1.274732e+00  1.212131000000000000e+06  2.032120000000000000e+06  2.189655500000000000e+06  2.483138000000000000e+06
78 1249 9.244853e-02 1.276592e+00  1.212131000000000000e+06  1.951718000000000000e+06  2.155409000000000000e+06  2.361586000000000000e+06
79 1265 9.251513e-02 1.277226e+00  1.212131000000000000e+06  1.946408000000000000e+06  2.231756500000000000e+06  2.404748000000000000e+06
80 1281 9.291869e-02 1.279260e+00  1.212131000000000000e+06  1.870905000000000000e+06  2.148847500000000000e+06  2.373652000000000000e+06
81 1297 9.314372e-02 1.280087e+00  1.212131000000000000e+06  1.305792000000000000e+06  2.135735000000000000e+06  2.347456000000000000e+06
82 1313 9.411075e-02 1.281537e+00  1.212131000000000000e+06  1.835517000000000000e+06  2.074501500000000000e+06  2.416359000000000000e+06
83 1329 9.447384e-02 1.282527e+00  1.212131000000000000e+06  1.920626000000000000e+06  2.235421500000000000e+06  2.411763000000000000e+06
