%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=208119, 2023/05/29 16:1:7.22)
11 177  1.872914000000000000e+06 0 0 5.916057e-01 3.939716e-01 1.208746e+00 4.514804e-01 -4.456371e-01 8.392379e-01 9.808586e-01 -3.567402e-02 -4.933480e-02 2.113879e-01 1.279859e+00 -4.941700e-01 5.300514e-01 6.270084e-01 1.423108e+00 6.729618e-01 2.449279e-01 1.042010e+00 1.734983e-01 1.001019e+00 6.303606e-01 3.914738e-01 -5.378372e-02 3.330932e-01 6.414805e-01 2.927926e-01 1.501106e+00 1.504003e-01 4.363953e-01 1.309185e+00 7.391804e-01 7.816459e-01 6.529602e-01 -1.662566e-01 8.651972e-01 -4.046276e-01 1.205656e+00 6.910484e-01 1.300360e+00 2.294473e-01 9.681803e-01 9.916174e-01 2.340269e-01 8.571871e-01 6.366740e-01 1.745778e-01 3.821658e-01 4.663025e-01 7.475182e-01 2.987357e-01 1.773968e-01 7.774131e-01 -7.693200e-02 8.733004e-01 4.662157e-01 -2.209440e-01 1.732630e-01 4.615343e-01 5.014670e-01 1.391455e+00 3.430255e-01 1.463889e+00 
12 193  1.734972000000000000e+06 0 0 5.613084e-01 1.575118e-01 9.742961e-01 2.796581e-01 -4.846584e-01 5.387140e-01 9.052129e-01 -1.249217e-01 -9.590730e-02 2.311659e-01 1.361393e+00 -6.804368e-01 3.613239e-01 1.057955e+00 1.290825e+00 8.165849e-01 3.856099e-01 9.157200e-01 -7.006574e-02 9.428037e-01 9.318630e-01 2.522633e-01 -5.420755e-01 2.968963e-01 6.902565e-01 6.226433e-01 1.484770e+00 2.156877e-01 2.657253e-01 1.479061e+00 6.001867e-01 1.023517e+00 9.749483e-01 1.731977e-01 9.326624e-01 -2.400812e-01 1.180922e+00 6.427112e-01 1.324835e+00 4.209628e-01 1.100591e+00 1.214489e+00 -7.295489e-02 9.537592e-01 8.726734e-01 5.339343e-01 3.587194e-01 1.558468e-01 7.233288e-01 1.403589e-01 3.378699e-01 1.120328e+00 -5.607102e-02 9.619025e-01 3.264581e-01 -1.138763e-01 2.154515e-01 4.536095e-01 4.887208e-01 1.359686e+00 3.686616e-01 1.381789e+00 
13 209  1.895475000000000000e+06 0 0 6.211646e-01 1.675022e-01 1.099400e+00 2.633313e-01 -1.980102e-01 6.554325e-01 9.661894e-01 -1.213859e-01 3.654012e-01 1.030014e-01 1.405854e+00 -2.944542e-01 2.039322e-01 9.403714e-01 1.279614e+00 1.087540e+00 3.488374e-01 1.353268e+00 1.070204e-01 8.105167e-01 8.088182e-01 2.068942e-01 -3.254130e-01 2.611769e-01 6.690700e-01 3.204566e-01 1.208609e+00 -1.034772e-01 2.071667e-01 1.300985e+00 5.627115e-01 8.975021e-01 8.101556e-01 3.637947e-01 8.073460e-01 -2.530569e-01 1.258596e+00 9.123052e-01 1.327920e+00 6.840774e-01 1.064399e+00 1.286417e+00 5.143335e-01 7.443543e-01 8.435808e-01 2.340550e-01 2.715468e-01 1.548255e-01 7.159084e-01 2.934424e-01 1.630260e-01 9.179915e-01 -2.917037e-02 8.670549e-01 4.434923e-01 -9.590818e-02 2.938423e-01 3.717867e-01 3.873288e-01 1.399494e+00 4.866835e-01 1.319788e+00 
14 225  2.054934000000000000e+06 0 0 4.537449e-01 4.390861e-01 8.596811e-01 3.861828e-01 -1.585775e-01 6.124365e-01 1.120440e+00 -3.412492e-01 2.173091e-01 2.649391e-01 1.391001e+00 -4.560259e-01 1.940347e-01 1.005235e+00 1.314597e+00 8.766186e-01 3.189437e-01 1.188723e+00 1.636092e-01 8.709769e-01 9.763993e-01 4.061945e-01 -5.423806e-01 2.029361e-01 7.478335e-01 4.176741e-01 1.263091e+00 2.758604e-01 3.058780e-01 1.122161e+00 6.994949e-01 7.018611e-01 7.553837e-01 -1.811451e-02 9.775111e-01 -2.588646e-01 1.339306e+00 6.878567e-01 1.334054e+00 5.112772e-01 1.039113e+00 1.274173e+00 4.192525e-01 6.476655e-01 9.035223e-01 2.057581e-01 6.104290e-01 2.989247e-01 7.690729e-01 6.461986e-01 -2.723411e-02 9.056659e-01 -1.642287e-01 7.616234e-01 3.072069e-01 -3.081467e-01 3.154906e-01 4.379804e-01 5.526505e-01 1.372267e+00 5.631699e-01 1.465967e+00 
15 241  2.054814000000000000e+06 0 0 8.640025e-01 1.304962e-01 7.212128e-01 6.230213e-02 -4.310335e-01 4.211923e-01 7.111130e-01 -3.604036e-01 -2.845563e-03 4.392842e-01 1.084893e+00 -4.783797e-01 4.014408e-01 1.071511e+00 1.371955e+00 1.056949e+00 1.380917e-01 1.039309e+00 -3.481796e-01 9.000793e-01 7.748860e-01 1.701554e-01 -3.656119e-01 3.999164e-01 9.018805e-01 4.097720e-01 1.004436e+00 4.375004e-01 4.833706e-01 1.376925e+00 3.948792e-01 6.613290e-01 5.724369e-01 7.734355e-02 8.573116e-01 -1.124718e-01 1.050304e+00 8.940008e-01 1.386349e+00 7.230358e-01 9.475205e-01 1.384115e+00 3.080700e-01 8.452756e-01 1.033266e+00 1.838847e-01 6.094892e-01 3.647731e-01 8.644418e-01 5.389779e-01 2.894898e-01 9.453244e-01 -3.236104e-03 1.175901e+00 9.113661e-02 -1.702438e-01 1.549001e-01 3.636392e-01 4.350380e-01 1.523625e+00 5.388621e-01 1.489971e+00 
16 257  2.014057000000000000e+06 0 0 8.082590e-01 3.419714e-01 8.440284e-01 3.357434e-01 -4.847717e-01 7.024688e-01 8.181351e-01 -4.857734e-01 -3.080905e-01 4.517178e-01 1.436123e+00 -2.904832e-01 1.602304e-01 8.470299e-01 1.108822e+00 8.665712e-01 2.923882e-01 1.315349e+00 1.927133e-01 1.142367e+00 6.956993e-01 3.631447e-01 -3.077126e-01 4.784071e-01 6.089665e-01 1.481304e-01 1.176424e+00 3.549625e-01 3.966952e-01 1.478764e+00 6.626432e-01 5.702427e-01 7.685762e-01 -1.476955e-01 8.523452e-01 -2.752841e-01 1.229459e+00 6.175358e-01 1.433773e+00 5.557831e-01 9.486133e-01 1.511568e+00 9.852083e-02 9.321783e-01 9.334150e-01 1.019211e-01 4.071187e-01 3.472563e-01 8.371829e-01 6.767837e-01 3.755652e-02 8.615523e-01 -6.467902e-02 1.152555e+00 9.923409e-02 2.646840e-02 2.695423e-01 4.436956e-01 4.937497e-01 1.462443e+00 4.333441e-01 1.296064e+00 
17 273  1.515849000000000000e+06 0 0 8.607046e-01 1.674253e-01 1.089931e+00 2.184931e-01 -2.697024e-01 3.976515e-01 1.078902e+00 -4.459073e-01 2.721214e-01 4.277359e-01 1.440397e+00 -4.369334e-01 3.609588e-01 1.011467e+00 1.514173e+00 1.035321e+00 1.643598e-01 1.062909e+00 4.469120e-02 1.144961e+00 7.489069e-01 3.981503e-01 -2.865101e-02 2.550054e-01 5.990964e-01 1.966495e-01 1.200224e+00 3.281093e-01 4.243092e-01 1.273134e+00 5.434580e-01 3.378402e-01 8.357281e-01 6.785866e-02 7.696972e-01 -2.106869e-01 1.252324e+00 7.741872e-01 1.256601e+00 6.410458e-01 8.635629e-01 1.415726e+00 2.841731e-01 8.781132e-01 9.083926e-01 -3.081401e-01 1.804781e-01 3.960017e-01 8.796456e-01 7.498410e-01 -2.697915e-01 1.161852e+00 7.282545e-03 9.363255e-01 2.165846e-01 -1.074291e-02 3.010854e-01 3.127590e-01 5.083551e-01 1.556013e+00 3.431657e-01 1.153208e+00 
18 289  1.760017000000000000e+06 0 0 7.852341e-01 3.436435e-03 9.958158e-01 1.210701e-01 -3.868171e-01 7.755287e-01 1.015444e+00 -3.218610e-01 3.118092e-01 3.419774e-01 1.233385e+00 -4.554469e-01 2.609722e-01 1.217687e+00 1.212127e+00 8.043453e-01 4.999493e-01 1.211806e+00 2.542348e-01 1.264693e+00 7.518639e-01 2.306685e-01 -2.597999e-01 1.299995e-01 9.323728e-01 4.017383e-02 1.221174e+00 -2.376124e-03 4.269883e-01 1.215458e+00 5.767046e-01 4.612373e-01 9.303384e-01 1.663741e-01 6.878759e-01 -1.032242e-01 1.083764e+00 8.607795e-01 1.287201e+00 7.897525e-01 1.058384e+00 1.249570e+00 3.102326e-01 8.550573e-01 9.562462e-01 -1.576190e-01 4.907095e-01 2.334793e-01 9.453723e-01 3.679800e-01 2.510017e-02 1.255243e+00 -1.011542e-01 1.023092e+00 2.366454e-01 1.443765e-01 6.319384e-01 3.763776e-01 6.418075e-01 1.339641e+00 3.489584e-01 1.351383e+00 
19 305  1.748381000000000000e+06 0 0 8.776021e-01 1.557189e-01 9.177060e-01 2.109896e-01 -5.106217e-01 6.938472e-01 1.071502e+00 -3.499861e-01 1.961830e-01 6.332570e-01 1.332502e+00 -4.206074e-01 4.352527e-01 1.211594e+00 1.392935e+00 6.654763e-01 5.296991e-02 1.150704e+00 -9.013819e-02 1.392196e+00 8.533783e-01 3.496519e-01 -5.239963e-01 2.842415e-01 8.226896e-01 8.702284e-03 1.096061e+00 3.377343e-01 2.412643e-01 1.453478e+00 3.121081e-01 4.929261e-01 9.549778e-01 1.687313e-01 9.712058e-01 -3.581047e-01 1.539229e+00 8.211863e-01 1.317560e+00 4.921183e-01 9.807191e-01 1.330211e+00 2.870885e-01 6.163544e-01 1.114706e+00 -6.582920e-02 2.540085e-01 6.103510e-01 7.230558e-01 3.332869e-01 8.603806e-02 1.110582e+00 -1.150805e-02 1.012660e+00 3.139932e-01 -5.880553e-02 4.994087e-01 6.965868e-02 5.721599e-01 1.417850e+00 1.780613e-01 1.355587e+00 
20 321  1.714123000000000000e+06 0 0 8.823080e-01 2.444063e-02 9.986248e-01 3.210367e-02 -1.744720e-01 4.979609e-01 1.095335e+00 -2.131140e-01 1.602127e-01 4.419424e-01 1.294695e+00 -4.977534e-01 1.936865e-01 1.162268e+00 1.514018e+00 7.606109e-01 1.564020e-01 1.140731e+00 4.346698e-01 1.391135e+00 8.472828e-01 3.407986e-01 -2.478913e-01 1.843413e-01 4.159685e-01 2.263769e-01 1.029966e+00 3.110798e-01 4.327788e-01 1.209110e+00 4.264003e-01 7.977824e-01 7.657011e-01 4.383489e-02 8.805700e-01 -1.284948e-01 1.225319e+00 1.132682e+00 1.217021e+00 6.924747e-01 8.921617e-01 1.291764e+00 -4.461290e-02 8.482702e-01 1.114193e+00 -5.583747e-02 3.404015e-01 6.863195e-01 9.940557e-01 4.048763e-01 -2.850087e-01 9.838781e-01 1.924886e-01 9.970045e-01 5.264586e-01 -1.723475e-01 4.116591e-01 5.635208e-01 6.580566e-01 1.118128e+00 2.345020e-01 1.255134e+00 
